access_mult,N,prevalence,beta_M,se_M,beta_E,se_E,theta_deg,AUC_combined
0.64,203,0.45320197044334976,-4.9101026141812705,6.492825169480382,-7.47409500715477,4.447877347521686,-123.3028908917488,0.6416960438699569
0.65,202,0.42574257425742573,-12.44237702999842,6.867067365511063,-11.201078848281488,4.744417559895676,-138.0053098342387,0.6305132317562149
0.66,206,0.4563106796116505,-5.262062659532856,6.920269220553243,-3.755216769187954,4.639467627841011,-144.48683924654537,0.523176291793313
