t_probe,N_at_risk,prevalence,beta_hat,beta_se,beta_ci95_lo,beta_ci95_hi,AUC,delta_AUC_vs_0.5,monotonic_bins_escape_rate
250,117,0.5897435897435898,3.7100420060354327,2.250407737280163,-0.8134172368282016,8.307685381855805,0.5631038647342995,0.06310386473429952,"0.54,0.52,0.61,0.61,0.67"
500,100,0.52,5.565749010389652,2.612851981428809,0.6812589883265301,10.707446130022968,0.6161858974358975,0.11618589743589747,"0.40,0.30,0.60,0.70,0.60"
1000,69,0.30434782608695654,5.274784143897618,3.362480113883803,-1.2942022549487668,12.155701593203263,0.625,0.125,"0.21,0.36,0.15,0.36,0.43"
