anneal_T,tempered_T,N_at_risk,prevalence,AUC_M_acc_w,AUC_dE_over_T,AUC_H_w,AUC_Lambda,AUC_combined_MplusdE,dAUC_combined_minus_Macc,AUC_logM_plus_Lambda,dAUC_logMplusLambda_minus_Macc,dE_over_T_p10,dE_over_T_p90
0.9,1.2,107,0.4392523364485981,0.5014184397163121,0.5312056737588653,0.46382978723404256,0.5602836879432624,0.5670212765957446,0.06560283687943258,0.5620567375886525,0.06063829787234043,0.6908075,0.9718888888888888
0.5,0.7,103,0.4077669902912621,0.5538641686182669,0.45433255269320844,0.5144418423106948,0.44340359094457454,0.5593286494925839,0.005464480874316946,0.5530835284933645,-0.0007806401249024209,1.0669545714285715,1.5014472
0.6,0.8,102,0.45098039215686275,0.5376552795031055,0.44875776397515527,0.5407608695652174,0.4254658385093168,0.5388198757763976,0.0011645962732920179,0.5865683229813664,0.048913043478260865,0.9577718749999999,1.3162013333333333
0.75,1.0,99,0.41414141414141414,0.5925147182506307,0.4146341463414634,0.42977291841883936,0.44238856181665265,0.5878889823380993,-0.004625735912531459,0.5769554247266611,-0.015559293523969675,0.7967386,1.1233648
