approach_slope_limit_deg,egress_reserve_fraction,disturbance_index_cap,telemetry_buffer_min_s,synthetic_success_score,pass
22,0.24,0.32,150,0.477,True
22,0.24,0.32,180,0.502,True
22,0.24,0.32,210,0.527,True
22,0.24,0.32,240,0.552,True
22,0.24,0.34,150,0.473,True
22,0.24,0.34,180,0.498,True
22,0.24,0.34,210,0.523,True
22,0.24,0.34,240,0.548,True
22,0.28,0.28,150,0.497,True
22,0.28,0.28,180,0.522,True
22,0.28,0.28,210,0.547,True
22,0.28,0.28,240,0.572,True
22,0.28,0.3,150,0.493,True
22,0.28,0.3,180,0.518,True
22,0.28,0.3,210,0.543,True
22,0.28,0.3,240,0.568,True
22,0.28,0.32,150,0.489,True
22,0.28,0.32,180,0.514,True
22,0.28,0.32,210,0.539,True
22,0.28,0.32,240,0.564,True
22,0.28,0.34,150,0.485,True
22,0.28,0.34,180,0.51,True
22,0.28,0.34,210,0.535,True
22,0.28,0.34,240,0.56,True
22,0.32,0.28,150,0.509,True
22,0.32,0.28,180,0.534,True
22,0.32,0.28,210,0.559,True
22,0.32,0.28,240,0.584,True
22,0.32,0.3,150,0.505,True
22,0.32,0.3,180,0.53,True
22,0.32,0.3,210,0.555,True
22,0.32,0.3,240,0.58,True
22,0.32,0.32,150,0.501,True
22,0.32,0.32,180,0.526,True
22,0.32,0.32,210,0.551,True
22,0.32,0.32,240,0.576,True
22,0.32,0.34,150,0.497,True
22,0.32,0.34,180,0.522,True
22,0.32,0.34,210,0.547,True
22,0.32,0.34,240,0.572,True
24,0.24,0.28,150,0.509,True
24,0.24,0.28,180,0.534,True
24,0.24,0.28,210,0.559,True
24,0.24,0.28,240,0.584,True
24,0.24,0.3,150,0.505,True
24,0.24,0.3,180,0.53,True
24,0.24,0.3,210,0.555,True
24,0.24,0.3,240,0.58,True
24,0.24,0.32,150,0.501,True
24,0.24,0.32,180,0.526,True
24,0.24,0.32,210,0.551,True
24,0.24,0.32,240,0.576,True
24,0.24,0.34,150,0.497,True
24,0.24,0.34,180,0.522,True
24,0.24,0.34,210,0.547,True
24,0.24,0.34,240,0.572,True
24,0.28,0.28,150,0.521,True
24,0.28,0.28,180,0.546,True
24,0.28,0.28,210,0.571,True
24,0.28,0.28,240,0.596,True
24,0.28,0.3,150,0.517,True
24,0.28,0.3,180,0.542,True
24,0.28,0.3,210,0.567,True
24,0.28,0.3,240,0.592,True
24,0.28,0.32,150,0.513,True
24,0.28,0.32,180,0.538,True
24,0.28,0.32,210,0.563,True
24,0.28,0.32,240,0.588,True
24,0.28,0.34,150,0.509,True
24,0.28,0.34,180,0.534,True
24,0.28,0.34,210,0.559,True
24,0.28,0.34,240,0.584,True
24,0.32,0.28,150,0.533,True
24,0.32,0.28,180,0.558,True
24,0.32,0.28,210,0.583,True
24,0.32,0.28,240,0.608,True
24,0.32,0.3,150,0.529,True
