variant,distance,max_target_depth_m,disturbance_index_cap,collapse_risk_abort_threshold,abort_gap,min_energy_reserve_fraction,pass
regolith_swimmer_balanced_r2,0.04,0.32,0.38,0.71,0.32999999999999996,0.26,True
regolith_swimmer_low_energy_guard_r1,0.12,0.24,0.31,0.66,0.35000000000000003,0.34,True
regolith_swimmer_v1,0.15,0.35,0.4,0.7,0.29999999999999993,0.25,True
regolith_swimmer_conservative,0.16,0.22,0.3,0.62,0.32,0.3,True
regolith_swimmer_aggressive,0.8,0.5,0.5,0.78,0.28,0.2,True
regolith_swimmer_deep_scout_r1,0.8,0.58,0.46,0.83,0.36999999999999994,0.23,True
